R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo
1,43.856602,18.418944,Magistralna cesta,02/01/2022,20:40:00,Magla,Noć,Nepoznato,0,0,4,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,4,0,3,,,,,,,,,
2,43.866849,18.409569,Magistralna cesta,05/01/2022,19:40:00,Nepoznato,Noć,Nepoznato,0,0,2,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,2,0,3,,,,,,,,,
3,43.878932,18.399796,Magistralna cesta,06/01/2022,10:45:00,Sa snijegom,Dan,Sa snijegom,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
4,43.856237,18.408753,Magistralna cesta,09/01/2022,23:15:00,Nepoznato,Noć,Nepoznato,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2,,,,,,,,,
5,43.858863,18.421247,Magistralna cesta,10/01/2022,14:45:00,Oblačno,Dan,Nepoznato,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,1,,,,,,,,
6,43.866848,18.409568,Magistralna cesta,26/01/2022,19:55:00,Nepoznato,Noć,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
7,43.855481,18.417564,Lokalna cesta,03/02/2022,16:25:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1,1,,,,,,,,
8,43.874569,18.404968,Magistralna cesta,08/02/2022,21:00:00,Oblačno,Noć,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2,,,,,,,,,
9,43.855823,18.403798,Magistralna cesta,12/02/2022,10:50:00,Nepoznato,Dan,Nepoznato,0,0,1,Izlijetanje izvan kolovoza,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,,,,,,,
10,43.85662,18.409602,Magistralna cesta,16/02/2022,15:45:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom obilaženja,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1,,,,1,,,,,
